code_insee;nom_commune;code_departement;dose_rayonnements_telluriques;dose_rayonnements_cosmiques;dose_radon_maison_individuelle;dose_radon_habitat_collectif;dose_depots_essais_atmospheriques_et_tchernobyl;;
73129;Grésy-sur-Isère;73;647;337;5241;2714;9;;
73130;Grignon;73;613;333;5357;2753;9;;
73131;Hautecour;73;650;535;6126;3014;9;;
73132;Hauteluce;73;815;414;4697;2529;9;;
73133;Hauteville;73;626;348;5396;2766;9;;
73135;La Tour-en-Maurienne;73;802;355;7730;3559;9;;
73137;Jacob-Bellecombette;73;518;338;4552;2480;9;;
73138;Jarrier;73;856;389;7749;3566;9;;
73139;Jarsy;73;575;435;4441;2442;9;;
73140;Jongieux;73;482;327;4837;2577;9;;
73141;Laissaud;73;593;323;4872;2588;9;;
73142;Landry;73;669;423;6851;3261;9;;
73145;Lépin-le-Lac;73;458;345;4724;2538;46;;
73146;Lescheraines;73;566;390;4841;2578;9;;
73147;Loisieux;73;450;372;5107;2668;46;;
73149;Lucey;73;464;322;4367;2417;9;;
73150;La Plagne Tarentaise;73;689;417;6711;3213;9;;
73151;Porte-de-Savoie;73;559;332;5043;2646;9;;
73152;Marcieux;73;485;372;4753;2548;46;;
73153;Marthod;73;625;350;4014;2297;9;;
73154;Mercury;73;608;369;4538;2475;9;;
73155;Méry;73;550;340;5514;2806;9;;
73156;Meyrieux-Trouet;73;496;371;5108;2669;46;;
73157;Modane;73;742;500;6573;3166;9;;
73159;Les Mollettes;73;591;324;5193;2697;9;;
73160;Montagnole;73;512;370;4907;2600;9;;
73161;Montagny;73;675;495;7076;3337;9;;
73162;Montailleur;73;641;347;5207;2702;9;;
73164;Montcel;73;518;381;5475;2793;9;;
73166;Montendry;73;645;446;6069;2995;9;;
73168;Montgilbert;73;669;386;6405;3109;9;;
73170;Monthion;73;619;359;5298;2733;9;;
73171;Montmélian;73;578;329;4530;2472;9;;
73173;Montricher-Albanne;73;749;399;8560;3841;9;;
73175;Montsapey;73;786;484;7530;3491;9;;
73176;Montvalezan;73;756;530;7772;3573;9;;
73177;Montvernier;73;774;356;7568;3504;9;;
73178;La Motte-en-Bauges;73;564;404;4911;2602;9;;
73179;La Motte-Servolex;73;523;324;4048;2309;46;;
73180;Motz;73;480;350;3594;2154;9;;
73181;Moûtiers;73;570;357;5408;2770;9;;
73182;Mouxy;73;540;340;6820;3250;9;;
73183;Myans;73;539;335;5249;2716;9;;
73184;Nances;73;488;354;4539;2476;46;;
73186;Notre-Dame-de-Bellecombe;73;718;569;4204;2362;9;;
73187;La Léchère;73;767;468;6767;3232;9;;
73188;Notre-Dame-des-Millières;73;624;334;5276;2726;9;;
73189;Notre-Dame-du-Cruet;73;778;371;7989;3647;9;;
73190;Notre-Dame-du-Pré;73;670;573;6631;3186;9;;
73191;Novalaise;73;488;348;4458;2448;46;;
73192;Le Noyer;73;566;435;5102;2667;9;;
73193;Ontex;73;469;347;4720;2537;9;;
73194;Orelle;73;777;472;10704;4569;9;;
73196;Pallud;73;611;358;5046;2648;9;;
73197;Peisey-Nancroix;73;679;733;7119;3351;9;;
73200;Planaise;73;606;333;4980;2625;9;;
73201;Planay;73;636;529;6601;3176;9;;
73202;Plancherine;73;586;378;4539;2476;9;;
73204;Le Pont-de-Beauvoisin;73;443;323;3337;2067;9;;
73205;Le Pontet;73;670;444;6260;3060;9;;
73206;Pralognan-la-Vanoise;73;634;626;5812;2908;9;;
73207;Presle;73;771;373;6343;3088;9;;
73208;Pugny-Chatenod;73;537;384;6273;3064;9;;
73210;Puygros;73;567;418;5219;2706;9;;
73211;Queige;73;661;351;4908;2601;9;;
73212;Val-d’Arc;73;652;332;6936;3289;9;;
73213;La Ravoire;73;575;325;5159;2686;9;;
73214;Rochefort;73;452;348;4756;2549;46;;
73215;Valgelon-La Rochette;73;609;338;6300;3073;9;;
73216;Rognaix;73;710;342;6580;3169;9;;
