code_insee;nom_commune;code_departement;dose_rayonnements_telluriques;dose_rayonnements_cosmiques;dose_radon_maison_individuelle;dose_radon_habitat_collectif;dose_depots_essais_atmospheriques_et_tchernobyl;;
1134;Crottet;1;629;316;4470;2452;9;;
1135;Crozet;1;463;367;4690;2527;9;;
1136;Cruzilles-lès-Mépillat;1;622;317;4575;2487;9;;
1138;Culoz;1;496;322;4152;2344;9;;
1139;Curciat-Dongalon;1;543;318;4928;2607;9;;
1140;Curtafond;1;570;318;3895;2257;9;;
1141;Cuzieu;1;438;330;4508;2465;9;;
1142;Dagneux;1;479;315;3310;2058;9;;
1143;Divonne-les-Bains;1;445;359;3975;2284;9;;
1145;Dompierre-sur-Veyle;1;492;327;3122;1994;9;;
1146;Dompierre-sur-Chalaronne;1;636;321;4584;2491;9;;
1147;Domsure;1;488;319;4275;2386;9;;
1148;Dortan;1;405;333;6678;3202;46;;
1149;Douvres;1;417;326;3585;2151;9;;
1150;Drom;1;411;332;4552;2480;9;;
1151;Druillat;1;450;325;3653;2174;9;;
1152;Échallon;1;425;416;5114;2671;9;;
1153;Échenevex;1;463;355;4671;2520;9;;
1155;Évosges;1;402;414;3521;2130;9;;
1156;Faramans;1;491;328;3652;2174;9;;
1157;Fareins;1;700;316;5407;2770;9;;
1158;Farges;1;496;362;4034;2304;9;;
1159;Feillens;1;620;314;4435;2440;9;;
1160;Ferney-Voltaire;1;533;348;3726;2199;9;;
1162;Flaxieu;1;484;327;4200;2360;9;;
1163;Foissiat;1;540;318;4201;2361;9;;
1165;Francheleins;1;738;319;5336;2746;9;;
1166;Frans;1;674;318;5318;2740;9;;
1167;Garnerans;1;640;317;4733;2541;9;;
1169;Genouilleux;1;680;317;6094;3004;9;;
1170;Béard-Géovreissiat;1;420;369;4511;2466;9;;
1171;Géovreisset;1;370;394;4934;2609;9;;
1173;Gex;1;500;383;5261;2721;9;;
1174;Giron;1;429;481;5616;2841;9;;
1175;Gorrevod;1;590;314;3549;2139;9;;
1177;Grand-Corent;1;400;367;4726;2539;9;;
1179;Grièges;1;639;314;4548;2479;9;;
1180;Grilly;1;456;363;3854;2243;9;;
1181;Groissiat;1;381;366;4833;2575;9;;
1183;Guéreins;1;709;314;6126;3014;9;;
1184;Hautecourt-Romanèche;1;384;337;3310;2058;9;;
1185;Plateau d’Hauteville;1;503;332;4086;2322;9;;
1187;Haut Valromey;1;467;434;3942;2273;9;;
1188;Illiat;1;626;318;4692;2527;9;;
1189;Injoux-Génissiat;1;492;340;4017;2298;9;;
1190;Innimond;1;459;447;4138;2339;9;;
1191;Izenave;1;429;399;3785;2220;9;;
1192;Izernore;1;419;354;4842;2578;9;;
1193;Izieu;1;448;340;5020;2639;46;;
1194;Jassans-Riottier;1;652;314;5388;2764;9;;
1195;Jasseron;1;447;328;4329;2404;9;;
1196;Jayat;1;552;317;4128;2336;9;;
1197;Journans;1;448;326;3680;2184;9;;
1198;Joyeux;1;537;327;3517;2128;9;;
1199;Jujurieux;1;372;329;3676;2182;9;;
1200;Labalme;1;379;375;3687;2186;9;;
1202;Lagnieu;1;453;318;2777;1877;9;;
1203;Laiz;1;625;318;4556;2481;9;;
1204;Le Poizat-Lalleyriat;1;425;431;3980;2285;9;;
1206;Lantenay;1;422;410;3696;2189;9;;
1207;Lapeyrouse;1;642;327;4011;2296;9;;
1208;Lavours;1;494;321;4459;2448;9;;
1209;Léaz;1;505;360;3921;2266;9;;
1210;Lélex;1;422;450;5244;2715;9;;
1211;Lent;1;497;327;4001;2293;9;;
1212;Lescheroux;1;542;318;3696;2189;9;;
1213;Leyment;1;451;322;3442;2103;9;;
1214;Leyssard;1;385;375;4038;2305;9;;
1215;Surjoux-Lhopital;1;480;359;3856;2243;9;;
1216;Lhuis;1;462;343;4873;2589;9;;
1219;Lompnas;1;424;434;4475;2454;9;;
1224;Loyettes;1;441;315;4540;2476;9;;
1225;Lurcy;1;716;315;5598;2835;9;;
1227;Magnieu;1;439;320;3825;2233;46;;
1228;Maillat;1;409;363;3878;2251;9;;
1229;Malafretaz;1;543;318;4193;2358;9;;
1230;Mantenay-Montlin;1;547;318;4233;2371;9;;
1231;Manziat;1;625;316;4339;2408;9;;
